Accession,Description,Symbol,Peptides,PD_Detected_Peptides,Unique,100011 WT_EZR Normalized,100012 WT_EZR Normalized,100013 WT_EZR Normalized,100005 WT_CYT Normalized,100006 WT_CYT Normalized,100007 WT_CYT Normalized,100017_1 SPQC Normalized,100017_2 SPQC Normalized,100017_3 SPQC Normalized,WT_EZR_CV,WT_CYT_CV,SPQC_CV,WT_EZR_v_WT_CYT_FC,WT_EZR_v_WT_CYT_pval,Stats
Q8CFE4,SCY1-like protein 2 OS,Scyl2,4,3.3.4.4.4.4,4,295700.5696,312255.971,295413.3013,486541.6942,371183.3094,489297.4394,268464.4463,274283.1973,288727.5112,3.2,15,3.76,-1.491108,0.04532434,
Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase OS,Aldh1l1,20,19.17.18.20.19.20,18,6626631.955,7314687.429,7447012.173,10041710.06,11017200.83,10833918.59,9889131.024,8245953.191,8136190.834,6.18,4.88,11.2,-1.491132,0.001240157,
Q5U3K5,Rab-like protein 6 OS,Rabl6,9,9.8.8.9.9.9,9,1243844.168,1011662.391,1101995.975,1917369.332,1389279.291,1699949.124,1526426.699,1447214.255,1636589.567,10.5,15.9,6.19,-1.491167,0.03144927,
Q9CX56,26S proteasome non-ATPase regulatory subunit 8 OS,Psmd8,1,1.1.1.1.1.1,1,408417.5255,510007.7053,380016.5431,543619.4081,680036.5574,712896.6543,528728.8276,565045.0803,477240.6355,15.8,13.9,8.43,-1.491444,0.03029647,
Q9R111,Guanine deaminase OS,Gda,11,11.11.9.11.11.11,11,7864447.288,8485922.718,7681168.384,13388987.86,8979909.136,13473468.6,8932868.882,9790916.575,9604400.134,5.27,21.5,4.78,-1.491472,0.09727394,
Q9DAZ9,Abscission/NoCut checkpoint regulator OS,Zfyve19,2,2.2.2.2.2.2,2,73007.92046,110496.6463,66956.55842,108279.1554,149012.5382,116338.7751,99471.406,108600.5529,132355.7126,28.3,17.3,15,-1.49177,0.09780083,
A2RSQ0,DENN domain-containing protein 5B OS,Dennd5b,1,1.1.1.1.1.1,1,39586.03366,25410.19148,40314.96402,53818.68042,32582.77873,70834.53521,51242.40517,53980.1871,43796.41912,23.9,36.6,10.6,-1.493061,0.2532212,
Q9JLC8,Sacsin OS,Sacs,4,3.1.3.4.4.4,4,56204.35528,68989.36733,63135.02951,109732.2132,89013.88495,82697.07049,78188.18371,88669.89834,89101.39559,10.2,15.1,7.24,-1.494425,0.02251403,
Q08639,Transcription factor Dp-1 OS,Tfdp1,1,1.1.1.1.1.1,1,10492.0445,9998.34953,20461.09504,19494.17313,18227.15202,23539.41204,11239.42426,13274.92909,14255.08254,43.2,13.6,11.9,-1.495934,0.1804603,
Q8BVG8,Probable N-acetyltransferase 14 OS,Nat14,1,1.1.1.1.1.1,1,110598.578,114125.4242,186948.9884,227280.8976,165069.463,223629.4042,143607.2949,101224.8942,100740.05,31.4,17,21.4,-1.496284,0.1153808,
A6H611,Mitochondrial intermediateptidase OS,Mipep,1,1.1.1.1.1.1,1,9655.06607,14593.43053,9094.577835,19675.59472,14621.77561,15621.13888,7453.818539,11040.55934,13678.06083,27.2,16.1,29.1,-1.497118,0.08765006,
Q8C4X2,Casein kinase I isoform gamma-3 OS,Csnk1g3,1,1.1.1.1.1.1,1,25356.49125,24673.8178,24319.98747,40394.57669,27991.85811,43039.23922,33137.77734,36108.26692,37220.3475,2.13,21.6,5.95,-1.498658,0.1005574,
Q60575,Kinesin-like protein KIF1B OS,Kif1b,3,3.3.3.3.3.3,3,79217.15168,78148.70663,88356.66272,123019.5597,92764.15061,152767.752,119165.5206,105396.2814,98789.48742,6.85,24.4,9.64,-1.499868,0.1073017,
Q3UYV9,Nuclear cap-binding protein subunit 1 OS,Ncbp1,2,2.2.2.2.2.2,2,104001.5873,56188.25612,32104.00811,116034.079,73108.95499,99297.23795,70568.83426,79346.07191,72228.65726,57.1,22.5,6.3,-1.499997,0.2762943,
Q63810,Calcineurin subunit B type 1 OS,Ppp3r1,1,1.1.1.1.1.1,1,12207.72491,20691.47372,26703.00984,27845.49939,18713.65662,42949.11322,27261.54663,21949.1841,32813.73424,36.7,41,19.9,-1.501761,0.2958312,
Q8C2Q3,RNA-binding protein 14 OS,Rbm14,1,1.-.1.1.-.1,1,168135.3552,148082.6594,104276.7265,230303.6779,226717.5867,175533.0878,180051.1346,190458.7579,111804.6199,23.3,14.5,26.6,-1.50431,0.07900201,
Q60634,Flotillin-2 OS,Flot2,10,10.9.9.10.8.10,10,2679112.777,2348225.947,2777601.421,3992567.667,3378480.251,4378749.194,2949710.337,3275753.864,3351866.026,8.65,12.9,6.69,-1.505431,0.01525361,Down
P29758,"Ornithine aminotransferase, mitochondrial OS",Oat,3,2.2.3.2.2.2,3,238691.2014,208809.1192,237007.9143,354654.6963,322921.6745,353210.5077,290071.9467,358365.7905,322788.2086,7.36,5.22,10.6,-1.505879,0.00232232,Down
Q8BTZ4,Anaphase-promoting complex subunit 5 OS,Anapc5,1,1.1.1.1.1.1,1,7439.16242,4814.252707,10772.79585,16846.66094,7986.166313,9847.028592,8107.530034,14148.72053,14360.82224,38.9,40.4,29.1,-1.506103,0.2706148,
P97386,DNA ligase 3 OS,Lig3,1,1.1.1.1.1.1,1,6923.99151,4842.976643,6905.932996,7662.828341,9979.659438,10481.46049,12660.35562,9447.922246,6330.243311,19.2,16,33.4,-1.506137,0.05652791,
Q7TQI8,Testis-specific Y-encoded-like protein 2 OS,Tspyl2,1,-.-.-.1.1.1,1,2668.840875,2376.086646,5110.23701,5881.841201,2455.67167,6977.898689,2626.667706,3104.906793,2212.950417,44.3,46.2,16.9,-1.50814,0.4040784,
Q6ZQ82,Rho GTPase-activating protein 26 OS,Arhgap26,6,5.4.4.6.5.5,6,739845.9926,491173.3929,535364.9919,926523.7753,828055.7205,910148.5569,590084.0439,541289.3057,583716.8303,22.5,5.94,4.64,-1.508578,0.06673746,
P15508,"Spectrin beta chain, erythrocytic OS",Sptb,1,1.1.1.1.1.1,1,66158586.01,47129593.94,57843557.18,101376133.7,48273853.19,109421678.4,86045309.63,105960616.5,123902761,16.7,38.5,18,-1.513873,0.2982193,
Q3UYH7,Beta-adrenergic receptor kinase 2 OS,Adrbk2,2,1.1.1.2.2.1,2,43261.84558,56984.36545,100236.4625,101148.07,74649.31842,127802.3813,115322.0337,128585.3959,110265.5337,44.5,26.3,8.01,-1.514344,0.2081218,
Q9DCP2,Sodium-coupled neutral amino acid transporter 3 OS,Slc38a3,9,8.9.8.9.9.8,9,11092711.71,18258831.05,14213071.92,17754390.15,25371916.4,22865945.96,19281693.87,18465398.05,16953004.92,24.7,17.6,6.48,-1.514813,0.08184383,
Q91WQ3,"Tyrosine--tRNA ligase, cytoplasmic OS",Yars1,6,5.5.5.6.6.6,6,508365.1617,428670.5705,478642.1243,784453.8148,543488.4503,817222.8238,441018.8045,504497.6253,477075.6791,8.53,20.9,6.71,-1.515292,0.0753264,
A0A1W2P884,Centrosomal protein of 85 kDa-like OS,Cep85l,1,1.-.1.-.1.1,1,15308.02141,19630.53533,25997.095,34348.78588,32155.76306,26062.54136,23752.34983,21843.32713,19683.34082,26.5,13.9,9.36,-1.519096,0.08557444,
P31230,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS,Aimp1,1,1.1.1.1.1.1,1,16120.97137,12290.60878,15479.00967,23466.51165,14515.14931,28735.74316,22466.78724,18344.05809,21540.5303,14,32.3,10.4,-1.520084,0.1871335,
Q2TV84,Transient receptor potential cation channel subfamily M member 1 OS,Trpm1,5,5.5.5.5.5.5,4,1159564.139,1702334.691,2435851.286,2145866.812,3273389.05,2635638.259,1853677.581,1792441.014,1972913.346,36.3,21.1,4.9,-1.520437,0.1608887,
Q8VDM6,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS,Hnrnpul1,7,7.7.5.7.7.7,7,952224.0667,935662.7848,894181.8006,1441388.742,1321918.603,1469468.392,1238560.82,1270040.66,1070622.486,3.22,5.55,8.99,-1.521449,0.001150119,Down
Q3UH66,Serine/threonine-protein kinase WNK2 OS,Wnk2,8,7.6.6.8.7.8,8,1456446.281,1160218.055,1179863.801,1890395.706,1913601.397,1973654.169,1590920.06,1613901.171,1750852.101,13.1,2.23,5.23,-1.521825,0.02542781,Down
Q6PE13,Proline-rich transmembrane protein 3 OS,Prrt3,2,2.2.2.2.2.2,2,161230.6887,106860.9167,162481.2069,221915.935,178919.2254,255815.6291,213140.8763,181849.0084,194416.9602,22.1,17.6,8.01,-1.525063,0.07294532,
Q8BKI2,Trinucleotide repeat-containing gene 6B protein OS,Tnrc6b,24,22.17.21.24.22.23,24,2157323.075,2297645.985,2243219.551,3342165.91,3264140.641,3612284.542,2801477.334,2819842.474,2715278.783,3.17,5.36,2.01,-1.525575,0.00085154,Down
P21661,Neuroendocrine convertase 2 OS,Pcsk2,2,2.2.2.2.2.2,2,39622.13234,50836.01689,66234.77734,103839.537,56314.60989,78961.82079,78725.49573,64800.46193,65577.2594,25.6,29.8,11.2,-1.526016,0.1497477,
O08785,Circadian locomoter output cycles protein kaput OS,Clock,1,1.1.1.1.1.1,1,18345.44205,21863.9147,12939.64899,20848.20398,30192.5422,30092.63681,21112.75411,20692.80469,22701.51298,25.4,19.8,4.93,-1.526527,0.09718658,
Q60749,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 OS",Khdrbs1,3,3.2.3.3.3.3,3,1258335.73,992767.1817,1025536.277,1544276.789,1914276.788,1545847.856,1392875.069,1331214.771,1470802.192,13.3,12.8,5,-1.527297,0.01470398,Down
Q8BG32,26S proteasome non-ATPase regulatory subunit 11 OS,Psmd11,1,1.1.1.1.1.1,1,39127.31138,21524.17814,74948.70944,66524.50826,79680.73498,61064.69162,70916.26583,75691.04325,66357.78864,60.2,13.9,6.57,-1.528537,0.2671464,
Q04207,Transcription factor p65 OS,Rela,3,2.1.1.3.2.3,2,312493.5842,202933.4834,264736.857,351280.711,403888.0058,437813.4826,414566.5049,330486.1546,243507.5745,21.1,11,26,-1.529143,0.05428659,
Q3TZZ7,Extended synaptotagmin-2 OS,Esyt2,2,2.2.2.2.2.2,2,190017.0344,162247.799,174539.2801,296546.7861,192384.424,317202.8006,235117.9479,236230.1052,212682.3545,7.92,24.9,5.83,-1.530235,0.1134619,
A2A791,Zinc finger MYM-type protein 4 OS,Zmym4,1,1.-.1.1.1.1,1,24036.88761,27282.94689,17911.62211,26950.95316,40567.86636,38500.00718,28199.38938,29191.5156,21677.45052,20.6,20.8,15.5,-1.531368,0.07632678,
Q91YI1,Autophagy-related protein 13 OS,Atg13,1,1.1.1.1.1.1,1,16087.05132,13504.67799,16512.83298,22092.37628,16636.00989,31928.87241,19663.04489,27321.54475,29770.75097,10.6,32.9,20.6,-1.532544,0.1619684,
Q91VA6,Polymerase delta-interacting protein 2 OS,Poldip2,1,1.1.1.1.1.1,1,11022.24332,15826.79303,12309.58753,21575.03125,15941.25873,22517.38822,14807.57415,12547.8843,11923.47186,19.1,17.8,11.6,-1.53309,0.04869273,Down
P14576,Signal recognition particle 54 kDa protein OS,Srp54,3,2.1.2.3.3.3,3,254616.2409,238127.0781,280542.9844,329714.9587,438157.7789,418389.8561,359226.3248,246687.8789,215571.0912,8.3,14.6,27.6,-1.534054,0.02314098,Down
Q99LH2,Phosphatidylserine synthase 1 OS,Ptdss1,2,2.2.2.2.2.2,2,675897.4937,832585.1639,679353.3768,1061182.171,1143769.487,1155750.352,952698.5065,1123060.512,1030266.591,12.3,4.6,8.24,-1.536085,0.01450512,Down
Q78IK4,MICOS complex subunit Mic27 OS,Apool,1,1.1.1.1.1.1,1,35668.46874,18369.26965,18509.35423,54014.85835,12480.98064,44946.33954,43195.63985,39012.14003,33965.22311,41.1,58.8,11.9,-1.536136,0.5938821,
P0C192,Leucine-rich repeat-containing protein 4B OS,Lrrc4b,4,3.3.4.3.4.4,4,487274.026,631484.5819,709278.494,848218.8443,1156133.059,804128.6465,761758.9948,697990.7818,754365.299,18.5,20.5,4.73,-1.536337,0.05403579,
Q9WV55,Vesicle-associated membrane protein-associated protein A OS,Vapa,14,13.12.13.14.14.14,13,7879191.643,7243904.013,7123489.417,12191561.64,9762192.515,12268484.93,9834674.248,9288292.435,9538016.634,5.48,12.5,2.86,-1.538314,0.01802619,Down
P97445,Voltage-dependent P/Q-type calcium channel subunit alpha-1A OS,Cacna1a,2,1.1.2.2.1.2,2,66195.36501,63365.93007,63084.23301,98881.59197,86657.32881,110829.0424,90229.43432,82443.38787,77453.76778,2.68,12.2,7.72,-1.538411,0.02261801,Down
Q9JMH9,Unconventional myosin-XVIIIa OS,Myo18a,40,34.30.36.39.38.39,40,6551723.927,5923391.116,7059696.906,9552498.153,9907973.693,10644239.22,8663004.865,8363916.456,9030743.686,8.74,5.55,3.85,-1.54108,0.003695602,Down
Q9R1E0,Forkhead box protein O1 OS,Foxo1,1,1.1.1.1.1.1,1,35322.53375,50579.23646,50148.1158,51479.11371,88362.57722,70008.92477,47429.18952,65549.70687,41998.93995,19.2,26.4,23.9,-1.542453,0.1024865,
P83940,Elongin-C OS,Eloc,1,1.1.1.1.1.1,1,2415078.575,1373611.528,950141.1248,3448159.881,1775567.103,2088418.4,2032082.034,2193084.2,2141235.183,47.7,36.5,3.87,-1.543027,0.2439948,
P53995,Anaphase-promoting complex subunit 1 OS,Anapc1,4,4.4.4.4.4.4,4,226533.8484,253233.3224,241873.4665,318332.2421,411577.2096,384720.6198,289040.0167,347627.3996,318088.0586,5.57,12.9,9.2,-1.544578,0.01848752,Down
Q8VCZ6,Small G protein signaling modulator 3 OS,Sgsm3,2,1.1.2.2.2.2,2,8540.754702,13050.5967,24468.66616,23117.67923,18253.16472,29842.86099,18874.73923,15585.58878,18080.10828,53.5,24.5,9.8,-1.546107,0.2330242,
Q9Z204,Heterogeneous nuclear ribonucleoproteins C1/C2 OS,Hnrnpc,3,2.3.3.3.3.3,3,493929.8631,475720.3851,588376.6846,758891.5293,715910.3219,934316.2824,632737.669,876833.8794,522013.0263,11.6,14.4,26.8,-1.546262,0.0153317,Down
P70318,Nucleolysin TIAR OS,Tial1,3,3.3.3.3.3.3,3,843714.6267,980739.4271,891609.3658,1699700.985,1065381.54,1434843.77,1228043.505,1188992.123,1003960.654,7.68,22.8,10.5,-1.546329,0.07986826,
Q9JI46,Diphosphoinositol polyphosphate phosphohydrolase 1 OS,Nudt3,6,5.5.5.6.6.6,5,1873978.994,2114763.747,2343662.508,3054015.752,3489026.541,3265445.525,2444879.838,1779312.187,1694528.038,11.1,6.65,20.8,-1.548936,0.007866202,Down
Q6NVF9,Cleavage and polyadenylation specificity factor subunit 6 OS,Cpsf6,3,3.1.2.3.2.2,3,48781.51816,34611.49662,45801.70613,69692.84826,52783.61456,77651.83384,57467.67717,56123.09114,62989.79049,17.3,19,6.18,-1.549044,0.04963966,Down
Q640N2,ADP-ribosylation factor-like protein 13B OS,Arl13b,1,1.1.1.1.1.1,1,3951.768693,3111.223827,7156.187568,8470.187883,7301.964655,6258.7293,1802.110214,1923.275437,2099.561855,45,15.1,7.7,-1.549378,0.1751074,
Q99J09,Methylosome protein 50 OS,Wdr77,1,1.1.1.1.1.-,1,192041.4543,230249.0261,338145.9058,348013.9228,404999.3398,426190.1336,286795.5673,471111.6442,459216.7378,29.9,10.3,25.4,-1.550693,0.09516923,
Q9D883,Splicing factor U2AF 35 kDa subunit OS,U2af1,1,1.1.1.1.1.1,1,38384.33422,22680.75715,44525.79861,59411.73894,40727.77246,63851.00711,35146.15463,42189.03996,57291.99742,32,22.4,25.2,-1.553074,0.1457159,
Q6P1F6,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform OS,Ppp2r2a,18,15.15.15.18.18.18,12,9237278.177,9109231.434,11353063.69,18588754.91,10315155.18,17254661.79,10904539.97,11038660.11,11269444.37,12.7,28.9,1.67,-1.554183,0.1427953,
P97390,Vacuolar protein sorting-associated protein 45 OS,Vps45,8,6.6.7.8.8.8,8,1227563.581,987540.7287,1144479.164,1848650.202,1819159.913,1554775.868,1474710.76,1587503.348,1573712.522,10.9,9.3,3.98,-1.554534,0.006794119,Down
Q9ESX5,H/ACA ribonucleoprotein complex subunit DKC1 OS,Dkc1,2,1.1.1.2.2.2,2,122306.7958,117710.4777,131261.9248,179648.1501,191737.8773,205927.2873,168203.3925,153706.5196,195132.0401,5.57,6.84,12.2,-1.55493,0.001164813,Down
O88455,7-dehydrocholesterol reductase OS,Dhcr7,3,2.2.3.3.3.3,3,855460.6641,802565.1267,832412.502,1209600.182,1316441.006,1348762.027,1042806.4,1234969.65,1281092.067,3.19,5.64,10.7,-1.555872,0.001084984,Down
Q9EQW7,Kinesin-like protein KIF13A OS,Kif13a,9,7.5.7.7.9.8,9,556743.4452,482818.3654,435549.4365,723229.834,840962.6783,731845.6264,546526.4964,486141.1395,510641.8422,12.4,8.57,5.9,-1.556519,0.009312676,Down
O70194,Eukaryotic translation initiation factor 3 subunit D OS,Eif3d,9,7.8.8.9.9.9,9,4120625.867,3252796.5,3406955.118,5397450.948,5158451.126,6234208.232,4542169.535,4324128.058,4267174.283,12.9,10.1,3.32,-1.55747,0.009655982,Down
Q8VD04,GRIP1-associated protein 1 OS,Gripap1,5,4.5.3.5.5.5,5,427705.8081,636606.6517,405622.003,650743.6462,904251.6914,736124.9381,475768.7829,469699.6779,376537.3313,26,16.9,12.6,-1.558655,0.06500242,
Q9DCJ5,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS,Ndufa8,1,1.1.1.1.1.1,1,52720.05097,55400.97537,60235.01519,88402.68846,81720.35349,92286.0799,66237.29569,62371.50186,68082.396,6.79,6.11,4.45,-1.558656,0.001124843,Down
Q91VC9,Growth hormone-inducible transmembrane protein OS,Ghitm,3,3.3.3.3.3.3,3,329608.4522,409412.5808,369643.0515,435537.2378,632490.2786,661878.8909,508743.6004,547571.4376,485384.1128,10.8,21.3,6.11,-1.560352,0.06412482,
D3YZV8,Coiled-coil domain-containing protein 8 homolog OS,Ccdc8,18,15.12.13.17.17.18,18,4200246.405,3957030.869,4052486.628,6721083.101,6124644.04,6208683.429,5372578.006,5406032.698,5128583.599,3.01,5.08,2.86,-1.560588,0.000605939,Down
O88746,Target of Myb protein 1 OS,Tom1,3,3.3.3.3.3.3,3,796773.2906,631474.6875,837020.7856,1171412.712,1148131.828,1216081.211,666339.3076,886911.6043,925453.0156,14.4,2.93,16.9,-1.560797,0.03110502,Down
Q3TC46,Protein PAT1 homolog 1 OS,Patl1,2,1.1.1.2.2.2,2,104225.0439,134181.8367,142366.5532,151625.692,296527.5663,146360.64,136446.9606,141258.7232,149311.4883,15.8,43,4.57,-1.561332,0.218436,
P14733,Lamin-B1 OS,Lmnb1,7,6.6.6.7.6.7,5,917675.5119,797944.9691,1103704.613,1469257.131,1472207.465,1463861.364,1242541.115,1192054.528,1290705.489,16.4,0.288,3.97,-1.562546,0.04001238,Down
Q9DBG7,Signal recognition particle receptor subunit alpha OS,Srpra,1,1.1.1.1.1.1,1,25814.20153,52915.66494,25814.19741,51415.02579,60927.17366,51031.08797,37208.28947,33713.13474,39371.75856,44.9,10.3,7.77,-1.562722,0.1638044,
P70333,Heterogeneous nuclear ribonucleoprotein H2 OS,Hnrnph2,3,3.3.3.3.3.3,3,583515.5183,350104.257,403951.2792,771380.956,565030.7141,755079.882,518672.7894,573854.4404,545229.8695,27.4,16.5,5.06,-1.563649,0.07428115,
Q8K124,Pleckstrin homology domain-containing family O member 2 OS,Plekho2,5,3.3.3.5.2.5,5,685471.5831,806459.1777,833257.8834,1122363.348,1207808.247,1305713.298,1185540.999,1247710.872,1214942.374,10.2,7.57,2.56,-1.563695,0.005143587,Down
Q9R1T2,SUMO-activating enzyme subunit 1 OS,Sae1,3,3.3.3.3.2.3,3,361321.1667,299161.0458,410509.1238,627299.7644,530168.171,518903.7521,408454.4595,409916.5608,423667.6411,15.6,10.7,2.03,-1.565252,0.01972456,Down
Q8BWA8,Rho guanine nucleotide exchange factor 19 OS,Arhgef19,1,-.-.1.1.1.1,1,2826.837969,2788.724336,4986.98279,4980.023155,7500.874416,4143.426855,2403.952772,6673.726433,1897.836595,35.6,31.5,71.7,-1.567956,0.1539688,
Q9R0Y5,Adenylate kinase isoenzyme 1 OS,Ak1,13,10.10.11.12.12.12,13,2918897.376,2185821.349,2436681.627,4241132.66,3334629.159,4251531.652,2803833.505,2605009.361,2439899.338,14.8,13.4,6.97,-1.568315,0.01813352,Down
Q60605,Myosin light polypeptide 6 OS,Myl6,3,3.2.2.3.3.3,3,168533.8027,53251.67178,50384.10089,125011.8948,164673.1628,137293.1163,125953.4063,157145.1725,145936.2451,74.3,14.3,11,-1.568795,0.2583862,
Q8BR63,Protein FAM177A1 OS,Fam177a1,2,2.2.1.2.2.2,2,132245.0493,167144.1132,108255.9308,186592.087,202297.7222,251342.1461,193148.9594,166328.0818,154724.1063,21.8,15.8,11.5,-1.570562,0.04627559,Down
P43006,Excitatory amino acid transporter 2 OS,Slc1a2,42,40.41.39.41.41.41,42,600499128,671994917.9,609995304.5,947130250.9,1019956408,990875730.4,762080052.1,773020613.4,796980119.2,6.19,3.72,2.3,-1.571304,0.001015226,Down
Q8CES0,N-alpha-acetyltransferase 30 OS,Naa30,1,1.1.1.1.1.1,1,36214.26941,22558.89077,24356.56501,36241.3081,52122.28509,42497.63866,28746.12158,72579.59263,64489.68225,26.8,18.3,42.2,-1.574181,0.06784334,
Q9DBC3,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS,Cmtr1,4,3.3.4.3.4.3,4,169433.3161,174503.9262,180592.599,271077.8338,323640.5373,232758.9429,174823.4412,167637.0044,206076.0349,3.2,16.5,11.2,-1.57756,0.03830235,Down
Q8K449,ATP-binding cassette sub-family A member 9 OS,Abca9,1,1.1.1.1.1.1,1,11606.82084,14179.46462,26031.86707,33641.80022,20013.46188,28111.6037,19466.15167,18846.79161,22719.64213,44.5,25.1,10.2,-1.577958,0.1725569,
Q6PD31,Trafficking kinesin-binding protein 1 OS,Trak1,4,4.3.4.3.4.4,4,218152.0107,292954.2077,257122.7,282947.7128,505244.1565,424519.655,288222.5678,300774.2658,310268.3609,14.6,27.8,3.69,-1.578581,0.1099514,
Q810U5,Coiled-coil domain-containing protein 50 OS,Ccdc50,1,1.1.1.1.1.1,1,10448.18177,8496.781905,9161.318158,18917.51415,5146.224982,20388.41202,20660.17082,16267.49591,6811.590732,10.6,56.7,48.5,-1.581574,0.5753067,
O70309,Integrin beta-5 OS,Itgb5,9,6.8.8.8.9.9,9,1715080.493,2092114.401,1963348.589,2754978.069,2945737.783,3428165.676,2592468.228,2492778,2465925.535,9.96,11.4,2.65,-1.58198,0.00648256,Down
Q99KN9,Clathrin interactor 1 OS,Clint1,12,11.10.11.12.11.12,12,2482829.396,2151003.914,2023916.264,3750772.858,2757057.775,4032487.406,2801052.06,3327885.225,3452065.611,10.7,19.1,10.8,-1.583165,0.04151174,Down
Q8K2Y0,ORC ubiquitin ligase 1 OS,Obi1,2,2.2.2.2.2.2,2,44627.75466,47356.43582,66548.30929,94231.49923,73020.79578,83905.35024,74110.6302,44586.46708,73321.65957,22.6,12.7,26.3,-1.584266,0.04224457,Down
Q6VVW5,Atrial natriureticptide receptor 2 OS,Npr2,1,-.-.1.-.1.1,1,4208.642256,3245.33705,34957.20866,24768.21661,27493.59834,14938.1924,18934.04661,11314.17141,19212.61301,128,29.5,27.2,-1.584488,0.3067814,
Q6P5D8,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS,Smchd1,3,2.3.3.3.3.2,3,104442.7459,76687.52664,85992.84009,124189.2363,164450.4092,134971.1765,115238.4621,126051.1052,118449.2901,15.9,14.8,4.63,-1.585826,0.01988582,Down
O35683,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 OS,Ndufa1,2,1.1.2.1.2.1,2,473024.3352,355537.1241,366203.1707,699395.5671,596578.2459,603090.8712,526239.3654,543249.8002,902398.1663,16.3,9.1,32.3,-1.589489,0.01825387,Down
Q69ZQ1,Myogenesis-regulating glycosidase OS,Myorg,1,1.1.1.1.1.1,1,23452.88467,21347.58443,20548.79605,32205.67232,35864.40147,35886.74909,26248.84951,24023.07529,24101.59107,6.89,6.11,5.09,-1.590788,0.000985783,Down
O54865,Guanylate cyclase soluble subunit beta-1 OS,Gucy1b1,3,2.2.2.3.3.2,3,232734.4817,309135.6349,507737.5744,560142.6788,527867.1679,582741.2997,387359.6803,367764.5481,353065.652,40.6,4.95,4.66,-1.591786,0.1493921,
A2AP18,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 OS",Plch2,4,3.3.3.4.4.4,4,380653.5883,254525.2756,335944.8939,509062.4927,585825.4895,451037.0588,602634.3741,470929.3655,533844.6117,19.8,13.1,12.3,-1.591893,0.03653901,Down
Q3TUF7,YEATS domain-containing protein 2 OS,Yeats2,2,2.2.2.2.2.2,2,481799.6464,440351.1036,625993.7066,982015.4696,561952.9283,920517.7832,702093.6979,828971.9652,881823.1396,18.9,27.6,11.5,-1.591897,0.1102803,
O55106,Striatin OS,Strn,22,21.20.20.22.22.22,21,12142003.22,12986539.94,15023629.83,21395735.32,19110253.74,23533754.41,17336343.89,16237693.52,15713328.14,11.1,10.4,5.04,-1.594926,0.005840808,Down
Q0GNC1,Inverted formin-2 OS,Inf2,2,2.2.2.2.2.2,2,217487.3223,299289.0115,255538.5153,444709.031,402417.7346,385978.5875,329959.5059,264445.9328,251934.1484,15.9,7.37,14.9,-1.596636,0.02144209,Down
Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial OS",Acaa2,5,5.4.4.5.4.5,5,598829.9197,306621.4733,465314.5359,707080.5477,713352.3677,768497.6938,607839.2701,607360.7553,645833.5861,32,4.63,3.56,-1.596867,0.1203745,
Q8BG89,Protein ZNF365 OS,Znf365,1,1.1.1.1.1.1,1,12176.46686,7788.206829,10196.13571,20522.87619,6843.585856,20892.46746,13397.31443,13556.70159,12143.87566,21.9,49.8,5.94,-1.600054,0.4268118,
Q9EQZ6,Rap guanine nucleotide exchange factor 4 OS,Rapgef4,3,3.3.3.3.3.3,3,322846.9329,261238.3176,282767.667,462590.4887,362960.7405,561771.8369,397202.3248,388726.266,416796.098,10.8,21.5,3.59,-1.600413,0.04940211,Down
Q8VCC9,Spondin-1 OS,Spon1,1,1.1.1.1.1.1,1,15788.65564,12889.90797,12348.34893,24272.26583,14445.84709,27106.85994,24561.3848,23374.67623,19512.84181,13.5,30.3,11.7,-1.604434,0.1370886,
Q9Z176,Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit delta OS,Ppp2r3d,1,1.1.1.1.1.1,1,358514.224,421492.2185,475583.5482,680982.0062,783044.0357,550499.0797,495848.0255,578835.4674,578543.7668,14,17.4,8.68,-1.604445,0.02515394,Down
Q8BIX3,ARL14 effector protein OS,Arl14ep,1,1.1.1.1.1.1,1,13052.7042,15224.72807,16272.96024,28048.76313,20815.11253,22683.08073,20281.40763,17994.60493,17839.69468,11.1,15.7,7.31,-1.605978,0.01551488,Down
Q8BUE4,Ferroptosis suppressor protein 1 OS,Aifm2,1,1.1.1.1.1.1,1,22978.84008,29291.75038,20133.4883,37562.7674,39780.77466,39004.56105,35802.81598,36409.50776,31912.18412,19.4,2.9,7.03,-1.606927,0.04453316,Down
Q8R1N4,NudC domain-containing protein 3 OS,Nudcd3,2,2.1.2.2.2.2,2,13885.15808,12504.09245,12569.04893,19788.52645,16055.63522,26779.38132,15672.78896,18217.50282,16843.21687,6,26.1,7.53,-1.607451,0.0857704,
